DROP TABLE EXIT;
CREATE TABLE EXIT(exitID int Primary Key not null, roomID int not null, direction text not null, destination int not null);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(1, 1, 'EAST', 5);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(2, 1, 'SOUTH', 2);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(3, 2, 'NORTH', 1);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(4, 2, 'EAST', 3);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(5, 3, 'WEST', 2);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(6, 3, 'NORTH', 4);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(7, 4, 'SOUTH', 3);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(8, 4, 'WEST', 5);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(9, 5, 'EAST', 4);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(10, 5, 'WEST', 1);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(11, 5, 'UP', 6);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(12, 6, 'DOWN', 5);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(13, 6, 'EAST' , 7);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(14, 7, 'WEST', 6);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(15, 7, 'EAST', 8);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(16, 8, 'WEST', 7);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(17, 8, 'EAST', 9);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(18, 9, 'WEST', 8);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(19, 9, 'SOUTH', 10);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(20, 10, 'NORTH', 9);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(21, 10, 'UP', 11);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(22, 11, 'DOWN', 10);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(23, 11, 'NORTH', 13);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(24, 11, 'UP', 21);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(25, 12, 'SOUTH', 14);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(26, 12, 'EAST', 13);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(27, 13, 'WEST', 12 );
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(28, 13, 'SOUTH', 11);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(29, 13, 'EAST', 0);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(30, 0, 'UP', 16);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(31, 14, 'NORTH', 12);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(32, 14, 'SOUTH', 15);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(33, 15, 'NORTH', 14);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(34, 16, 'DOWN', 0);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(35, 16, 'NORTH', 18);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(36, 16, 'WEST', 17);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(37, 17, 'EAST', 16);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(38, 18, 'SOUTH', 16);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(39, 18, 'WEST', 19);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(40, 19, 'EAST', 18);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(41, 19, 'WEST', 20);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(42, 20, 'EAST', 19);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(43, 21, 'DOWN', 11);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(44, 21, 'EAST', 22);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(45, 22, 'WEST', 21);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(46, 22, 'SOUTH', 23);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(47, 23, 'NORTH', 22);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(48, 23, 'WEST', 24);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(49, 24, 'EAST', 23);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(50, 24, 'SOUTH', 25);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(51, 25, 'NORTH', 24);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(52, 25, 'UP', 26);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(53, 26, 'DOWN', 25);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(54, 26, 'EAST', 29);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(55, 26, 'SOUTH', 27);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(56, 27, 'NORTH', 26);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(57, 27, 'EAST', 28);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(58, 28, 'WEST', 27);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(59, 29, 'WEST', 26);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(60, 29, 'SOUTH', 30);
INSERT INTO EXIT(exitID, roomID, direction, destination) Values(61, 30, 'UP', 31);

